Total Time,Memory Usage,num_samples,num_features,num_classes,dataset_size
37.34904479980469,107587765,789829,16,17,266.542382
26.042420387268066,35901720,575336,7,4,83.417037
36.867430210113525,181018841,337303,64,14,462.327203
29.76729726791382,60247880,633473,11,4,144.510848
22.843435764312744,59058937,125637,56,6,150.40237
24.850038766860962,17722766,278729,7,10,40.678996
49.06667947769165,336183103,455814,89,6,868.579856
45.56468462944031,208227741,267142,94,19,538.121527
54.7919135093689,329539018,863790,46,15,849.496125
56.65748357772827,424862133,695905,73,7,1085.661364
26.441728591918945,85073941,125071,82,19,219.617891
18.509864330291748,3895900,29521,15,13,9.283976
24.85058355331421,66955143,259708,31,3,171.06647
23.80019211769104,55466622,208671,32,4,142.221653
69.88657999038696,569887569,736672,93,6,1466.88099
39.93862009048462,132895645,381248,42,11,341.446039
60.3654100894928,398316942,767299,62,11,1016.835468
65.31981635093689,460303532,691561,80,19,1184.813977
74.38088822364807,551614507,927492,71,18,1409.500679
44.59976029396057,150624925,892775,20,16,378.010725
41.808058738708496,179578805,235220,92,10,463.989173
24.719706296920776,7305070,333081,2,8,14.364928
34.86235690116882,56522188,796322,8,9,132.112251
35.51935625076294,44291472,812245,6,6,101.806522
47.9522819519043,300543997,388354,93,9,772.987572
24.83242154121399,71803419,123197,70,7,184.677482
33.94528579711914,29790764,634179,5,19,66.441051
24.714024782180786,34589482,360070,11,18,82.772946
50.52870535850525,316436847,797668,48,2,818.693034
30.684545278549194,87000063,602281,17,12,216.174573
33.49614381790161,89371772,863192,12,16,216.454746
26.75458335876465,68633702,341462,24,6,173.770882
16.711645126342773,6783299,8333,96,2,17.164773
73.3731017112732,629612359,815198,93,4,1624.964146
16.27147626876831,311468,828,38,17,0.670006
42.72900366783142,224949293,630369,43,5,577.904167
43.7075891494751,170342372,783636,26,14,432.181414
56.62014889717102,336199813,881286,46,19,865.905447
42.26636528968811,65469914,920449,8,16,152.951254
59.01167440414429,397854995,531021,90,18,1023.421876
96.39174628257751,662728405,918921,87,8,1712.302441
57.66470956802368,434551612,689138,76,2,1122.567275
25.180049657821655,44927150,82421,65,15,114.60259
53.81960916519165,412953275,622302,80,4,1067.99653
40.166690826416016,61277872,971140,7,13,141.420707
24.3916916847229,34531730,496181,8,2,82.430559
40.81712102890015,199683034,547076,44,19,514.430051
39.89060068130493,153805657,657801,28,11,392.607331
27.56149196624756,95510666,250847,46,4,246.048843
21.438481330871582,23266943,171325,16,3,57.47362
61.517399311065674,339340123,793214,51,7,865.462769
76.4088180065155,599148845,785156,92,13,1547.759214
28.997746467590332,35100792,644085,6,6,80.357744
23.141424655914307,14791780,167300,10,9,34.92698
37.46608066558838,180524426,347226,62,6,461.202033
32.159027338027954,76693872,414619,22,17,193.369011
16.34549856185913,3436736,6092,65,4,8.473114
48.65964913368225,246754118,928246,32,5,633.552002
69.39638638496399,362159732,508855,85,19,927.34333
24.84827995300293,82590754,128349,77,4,211.824987
51.59020447731018,237335842,298154,96,18,612.716693
36.725980281829834,173807785,251607,83,9,447.572763
32.64430117607117,18033086,828448,2,10,35.42236
50.08807396888733,218857456,599384,44,18,562.908106
20.814351081848145,28709680,136905,25,8,72.692187
43.51734256744385,111140276,814934,16,16,275.633708
39.61486506462097,142143295,844027,20,9,357.694065
26.997023820877075,91802196,355276,31,7,234.291125
19.753358125686646,24327531,35534,82,19,62.384383
171.71811532974243,662499080,918040,87,12,1708.986531
72.61078643798828,488051915,593689,99,17,1260.631068
58.07780957221985,316555367,575587,66,12,813.507745
24.382755279541016,25533662,212623,14,8,62.49921
27.46305513381958,67398756,113060,71,16,172.016978
30.41639232635498,68188690,858995,9,6,159.525013
25.6624116897583,82805022,178856,55,11,210.54314
52.71987462043762,177722250,848769,25,8,449.90155
43.87488651275635,110127128,684863,19,17,275.302764
45.86823916435242,216753788,277988,94,14,559.648226
49.54857873916626,206997334,363415,68,19,528.789511
39.17938017845154,67323836,846117,9,14,158.474774
18.735246896743774,11970408,45862,31,19,30.239661
48.19030261039734,316590722,414946,92,8,817.836829
29.39590311050415,115817101,304041,46,3,298.859783
17.78494119644165,10295670,20498,59,8,25.850345
31.85896372795105,82907098,960166,10,2,200.155754
69.10694718360901,359410166,479751,90,18,926.066298
62.80759859085083,323374488,588036,66,11,831.172011
62.455662965774536,447889560,907028,59,2,1144.662825
29.883988618850708,108836757,466038,28,8,276.995669
26.397966384887695,84361246,273795,37,5,215.578663
24.433466911315918,38672715,445252,10,4,92.561849
25.556590795516968,91011911,138214,79,2,233.898645
53.54141426086426,330223853,477851,83,16,849.394358
65.98251295089722,264597961,777085,41,14,679.169737
42.256279706954956,193275200,567680,41,19,496.708358
21.607080221176147,17935142,39959,53,19,45.267321
46.15433430671692,233817895,758974,37,11,598.085395
39.64808368682861,131878877,386980,41,13,339.323406
63.160372257232666,273986504,939612,35,14,700.436549
38.44290375709534,212608088,692417,37,2,547.377144
20.360357761383057,38262801,60804,75,3,97.558319
55.024211406707764,383386398,611358,75,5,982.94198
49.78631234169006,304601594,697832,52,6,775.798028
64.45485496520996,378292991,834263,54,18,963.104738
69.51344060897827,388029356,544266,86,18,1002.152596
35.71090126037598,58884587,826560,8,19,138.021985
57.73678374290466,367738555,618080,71,15,938.676117
43.73504304885864,244658633,397384,74,5,628.488255
28.06921696662903,88038193,391352,27,3,224.232063
50.99080514907837,278462588,745249,45,13,716.306773
41.22801208496094,176603387,731911,29,6,451.745322
43.73618793487549,198869246,271475,88,15,511.720355
39.69286227226257,75606325,862140,10,19,179.514317
49.23443961143494,242050467,910888,32,6,618.958658
37.94719171524048,150444235,754677,24,2,383.822092
58.83688020706177,397829723,723888,66,6,1020.052812
38.978784799575806,49425268,782958,7,18,114.426468
19.299063205718994,22546529,30425,89,7,57.999505
25.312077283859253,71984982,158720,54,7,183.002136
47.34622764587402,221169062,979548,27,13,562.12765
23.621153116226196,56726739,132313,51,8,144.219707
43.5073561668396,218637641,825161,32,2,562.224002
52.176390409469604,267196152,784757,41,8,686.067054
23.262507915496826,41573456,258960,19,6,104.073971
29.395695447921753,40085826,874144,5,3,91.297969
22.0598726272583,49700901,86241,69,2,127.353515
25.309322595596313,83535759,168629,59,9,212.920563
48.609614610672,314729289,684188,55,4,805.945692
49.398186922073364,278326766,700346,48,5,716.706637
22.206605911254883,14842710,58772,30,15,37.586094
21.505109071731567,23224207,137699,20,6,58.152433
37.69406580924988,208624939,548038,46,3,538.827814
22.945353984832764,44702624,157565,34,5,114.169546
28.85808563232422,30934950,352676,10,15,73.301164
20.77255892753601,20303034,104672,23,11,51.135762
37.977733850479126,59120598,832431,8,8,137.652822
25.907973527908325,38910689,145773,32,15,99.22196
34.08598232269287,28158538,930452,3,5,58.972465
54.06209969520569,218369031,769758,34,9,556.78417
19.92491602897644,21833766,34379,76,4,56.000768
21.40150761604309,38557952,76422,60,12,98.126123
31.193633317947388,125069563,199153,75,7,319.999844
19.667169332504272,12356245,54125,27,11,30.978537
40.36548924446106,199519203,773216,31,9,510.868783
33.57404613494873,120716112,685878,21,3,305.398422
23.224705696105957,18811139,341848,6,11,42.694707
25.16284728050232,78576710,135853,69,5,200.674618
24.698957681655884,19183297,170343,13,18,46.485053
36.256471395492554,117655945,698078,20,12,295.822837
64.34704422950745,467320420,612575,92,11,1206.207854
62.90410494804382,267932933,768530,42,10,689.487115
23.381864309310913,59306191,81952,87,18,152.834763
43.298828125,162294910,590416,33,18,415.475071
78.65749430656433,479074139,870703,66,7,1230.234799
42.62164521217346,201256671,282899,85,9,514.997859
53.411372423172,210739068,871118,29,15,536.625977
34.762664556503296,33296223,709863,5,18,74.604029
63.67439246177673,409828577,500663,98,10,1051.805464
44.390140533447266,137445924,683594,24,13,348.473134
49.11094403266907,154802162,685258,27,9,392.210621
20.972636222839355,27807180,127209,26,15,70.278296
37.42293882369995,155320339,319060,58,15,395.574397
34.83993744850159,48330720,768224,7,9,111.293528
58.940268754959106,408134137,534666,92,19,1054.257168
32.1180305480957,122236507,320588,46,13,314.081482
35.20682334899902,197840214,284592,84,2,511.744887
48.78463077545166,136491002,771685,21,13,343.060187
25.025163412094116,13111179,427004,3,7,27.29921
45.393314361572266,152587328,482514,38,14,390.066951
34.695186376571655,64898139,539290,14,14,158.706226
24.729764223098755,36803513,96156,46,10,94.489669
29.09098172187805,49203683,923589,6,2,115.663579
28.09417152404785,69194394,193602,43,9,177.734296
43.13859701156616,225980095,850475,32,8,578.498778
39.88734459877014,229409468,314135,88,4,591.482814
26.97022843360901,13148226,427846,3,13,27.341476
51.60147261619568,360190842,473103,92,2,931.429563
27.17458987236023,95447914,116022,99,11,246.107115
22.002022743225098,41739342,78051,64,3,106.939251
32.1753203868866,125783861,538487,28,8,321.749852
19.120382070541382,13271563,82088,19,3,32.849011
48.47768187522888,298456449,922667,39,2,768.279747
99.04657244682312,722597314,927744,94,9,1869.726153
20.956149339675903,10651731,23834,52,17,26.514281
58.16262221336365,305046680,413263,89,17,788.087644
42.51419925689697,144078903,181039,95,19,369.064036
38.46241593360901,87835183,474840,22,17,220.836089
36.399630069732666,207583104,253337,98,8,531.821924
53.44275212287903,209841957,812716,31,12,536.240939
74.27814149856567,372893835,621803,72,17,958.106898
35.850900411605835,188251833,387333,58,4,481.068722
47.185184717178345,263885059,757188,42,4,678.614398
30.236445903778076,93115505,397544,28,17,236.767573
26.832531929016113,44451973,220788,24,17,112.198469
18.904196977615356,28317673,39615,86,2,72.912146
17.470296382904053,7370879,28849,30,6,18.428626
25.12662363052368,7408725,331707,2,13,14.395042
39.78203582763672,159384552,316580,60,19,406.478566
19.717395067214966,11615631,147636,9,2,27.295909
36.960827350616455,170594131,397781,51,7,433.451511
28.938558340072632,70852825,633299,13,12,172.555602
57.70496082305908,310715533,449638,83,14,799.896608
41.21786642074585,157803348,753093,25,12,398.296543
64.91103720664978,470724391,984772,57,6,1202.701946
37.60863900184631,146582269,568636,31,4,374.028503
20.29647946357727,13968653,29496,56,9,35.336867
16.83957600593567,3208909,3907,95,9,7.937543
50.4463324546814,349468398,543392,77,4,893.775124
