Total Time,Memory Usage,num_samples,num_features,dataset_size
70.7721939086914,448623917,638983,84,1195.434996
49.48752212524414,193515127,340022,67,508.034656
24.721211194992065,62003636,104674,70,163.352843
54.761066198349,276979369,731526,45,736.353913
33.469194412231445,91998879,503975,21,239.266672
31.182236194610596,106899466,224105,56,280.209991
80.8296685218811,522355845,652320,96,1393.85578
77.68858480453491,460872870,983994,55,1208.537263
62.64793109893799,322768977,872250,44,858.672197
59.17001485824585,321064348,673506,56,842.117252
18.43822956085205,18705176,56237,39,49.132797
44.2661874294281,210367866,458182,54,552.581564
47.5921950340271,243127815,329715,88,646.063089
56.33151292800903,297748710,841077,42,790.714135
55.64918780326843,299027125,508122,70,792.965626
58.62149453163147,310844586,688941,53,815.621361
64.34385299682617,664326111,535043,86,1024.692183
22.43909192085266,73491985,104162,42,97.924135
48.28144717216492,198291499,923669,25,520.389363
42.32427525520325,177238560,415618,50,464.410753
19.012942790985107,62101881,197877,10,45.708536
26.609047174453735,119204590,175587,40,157.293231
43.49534487724304,210731979,379277,66,558.27738
24.406368732452393,44427934,330927,15,113.112682
55.73713231086731,266829014,790381,40,708.024268
84.42395377159119,495348246,659903,99,1453.927141
25.882752656936646,54222754,261423,24,141.489722
49.042470932006836,210506748,798970,31,556.366003
55.779287815093994,273251334,920549,35,722.628748
44.56234264373779,203623914,251219,97,542.366157
26.76623034477234,141769224,219348,37,181.908318
50.729642391204834,253424834,551959,54,665.683209
79.96386885643005,500283832,900498,66,1325.49652
42.861916065216064,137351599,788286,20,356.775159
25.02087378501892,112037306,165033,40,147.833562
170.2228353023529,809616172,998800,69,1536.590604
56.177435874938965,282551324,856778,39,748.515711
28.756860733032227,82984291,233491,42,219.5138
26.389551162719727,66258534,308515,25,173.814532
31.525564670562744,93730651,334335,33,247.634994
26.831730842590332,67524800,248129,32,178.283739
32.85129523277283,99252197,428690,27,260.515785
21.989433526992798,81254308,133942,34,102.176179
77.68686938285828,469684870,952954,58,1233.779851
44.265578746795654,211823773,287263,88,562.883968
67.22825241088867,754812917,917339,51,1045.356365
30.02455425262451,74879951,376456,23,195.409335
26.85064387321472,51708057,411457,14,131.518115
78.40088057518005,487146073,858522,67,1282.730479
43.10790944099426,124947368,934390,15,319.369276
20.67831254005432,26356021,174864,17,67.517758
45.82059383392334,196822893,645164,36,520.747322
54.27732563018799,270797987,765077,42,719.264776
76.88971042633057,488193560,764918,76,1295.432285
54.44698691368103,242567229,981362,29,639.878437
50.93269634246826,238545424,604301,47,635.06368
72.95994520187378,463274495,725766,76,1229.129463
29.501442193984985,83378519,100680,99,221.820021
80.75489544868469,863149033,612936,99,1350.439697
70.52090311050415,424919358,688943,73,1120.963285
40.83307456970215,113418298,965278,13,287.141715
41.10178208351135,184558241,379442,57,482.844776
73.07257890701294,793424409,838441,61,1141.238813
79.01982641220093,476391815,865927,65,1255.428802
18.48666548728943,21494081,38214,66,56.25007
26.745765209197998,70314413,218279,38,185.861135
28.46948218345642,55167375,504230,12,138.818464
83.2853136062622,868536839,860261,71,1361.589226
32.46604657173157,104681123,219251,56,274.14494
23.15639591217041,83976847,81506,68,123.584719
64.02977538108826,369072898,671069,65,972.914416
41.69115686416626,179150771,315561,67,471.483465
18.770540237426758,22639397,73605,36,59.407818
186.40726947784424,729961037,881995,92,1806.425936
32.975646018981934,108029068,160372,80,285.816039
20.03750467300415,26117300,89613,34,68.361962
69.46062469482422,412542966,609108,81,1099.049429
50.254579305648804,224378866,716313,37,594.049068
61.125361919403076,343833293,663707,61,903.417671
67.1613221168518,397805133,506743,94,1060.340284
43.37031531333923,199016602,277335,85,524.997315
64.40781569480896,683951351,598841,77,1027.439699
34.81275177001953,221465620,171084,90,342.815129
20.727131128311157,32729795,84065,46,86.482928
56.55141997337341,325508456,648958,59,854.574027
20.57147979736328,70792562,118274,33,87.603025
39.01433038711548,182298593,259497,84,485.469231
32.38128876686096,215876943,310837,41,285.330196
59.591808795928955,359946572,599581,71,948.991747
80.06070446968079,506755522,821693,73,1336.95752
24.555158853530884,126571592,237780,28,149.770067
47.03372311592102,170429719,934156,21,443.493525
32.989928245544434,212677691,337829,36,272.688291
35.55072593688965,111867628,614676,21,291.819077
48.46735596656799,222353957,728697,36,588.169148
66.82222867012024,749043162,938040,49,1027.36104
40.80730867385864,128868834,706209,21,335.277733
19.602377891540527,27278266,180363,17,69.640946
25.704834699630737,68750440,277477,29,180.923309
64.05466318130493,674793881,483166,98,1053.808353
18.688406705856323,24732087,68965,42,64.836579
13.34096908569336,4006667,32426,13,9.645618
48.515366315841675,258659056,336450,92,689.083295
28.50201106071472,145075094,138596,69,213.218148
22.48920464515686,97596483,160991,34,122.807432
24.96633005142212,120869819,157359,47,165.374116
70.08543801307678,734024899,719841,67,1075.525134
61.93052864074707,354078666,706033,59,929.731497
41.59614062309265,186713724,437466,50,488.816671
26.69943928718567,73115837,196972,44,193.907528
66.19050812721252,675718114,522173,90,1046.31931
28.7526695728302,76369920,418057,21,198.476122
23.419277906417847,55429368,155615,42,146.293831
61.29938220977783,352414537,780615,53,924.150179
21.3635036945343,65263335,49229,92,100.828487
44.13704824447632,396868128,836079,23,433.988655
33.062692403793335,121957256,197340,73,321.08701
31.916054010391235,109654862,150819,87,292.185316
68.22952342033386,414970878,578536,85,1095.16293
30.0762300491333,91719462,277165,39,242.144687
60.03162932395935,335979772,803149,49,879.637266
46.304835081100464,237835659,395980,71,626.736163
42.45910835266113,348652572,399047,55,490.117673
51.421775817871094,285395019,366192,93,758.115313
35.42118191719055,102579824,650827,18,265.714388
84.96338367462158,417721159,709888,96,1516.867022
48.389649868011475,228366739,578402,47,607.84991
34.392884492874146,88918314,757387,13,225.305839
45.183040380477905,196724765,703144,33,520.811269
24.29470682144165,44292843,404483,12,111.360454
23.667269468307495,113204813,186816,34,142.505615
37.49943709373474,130438686,509876,30,343.753964
14.258754253387451,4921955,17302,32,12.431583
45.993064165115356,240668588,408583,70,637.63426
44.899373054504395,222016518,415451,63,583.906113
32.75591993331909,127442317,231176,65,335.15612
42.23933172225952,208122664,259745,96,555.013179
51.44760322570801,230799919,824525,33,610.706392
83.38320875167847,496495921,761932,86,1459.213526
37.72035193443298,287345559,626718,22,311.422846
28.070165634155273,153484925,154111,65,223.430157
54.17933416366577,570126066,905691,36,731.033668
34.21061110496521,136345133,164488,99,362.40608
59.40735983848572,356418118,440065,97,950.071976
52.94305443763733,254603695,736422,41,675.994437
64.29826498031616,345141533,855783,48,918.324337
32.58178782463074,105415325,213507,58,276.422653
16.458865880966187,14866759,21263,83,39.307833
44.53933310508728,227779225,408815,66,601.756465
40.24963140487671,180164619,221623,97,478.460322
45.5272753238678,205087329,593038,41,544.382027
51.008578300476074,255254683,646622,47,679.540585
43.20105195045471,206205673,370265,66,545.017401
67.29290175437927,744459315,895935,52,1040.817559
26.228347539901733,48404164,410645,13,122.158847
57.067864418029785,314829015,638551,58,826.708053
70.91808772087097,451746557,575202,94,1203.565142
72.66705131530762,441062377,894856,58,1158.561751
55.13727402687073,260216142,987804,31,687.861516
74.76103115081787,462977751,939565,58,1216.43792
40.99894142150879,116996119,931761,14,297.817011
43.70137333869934,187858632,584672,38,497.834983
39.157307624816895,305744231,292485,69,449.971867
65.70887494087219,412774027,575694,85,1089.793572
19.770565032958984,32113473,60333,62,83.463272
43.80183959007263,215090228,365365,70,570.184961
48.63434028625488,230812319,637041,43,613.009
17.039770364761353,16069598,35439,52,41.170283
35.79507517814636,105344458,553354,22,274.968912
49.49130058288574,216202993,728394,35,571.786578
31.314117670059204,179440949,133544,94,279.432016
77.42282295227051,493618038,870244,67,1300.237389
169.8593008518219,451944468,979596,73,1593.874678
29.989354610443115,74711053,526334,16,191.561762
55.209656953811646,268960906,837521,38,713.112245
23.759340524673462,55801983,113084,58,146.402483
12.81869888305664,1768159,4415,44,4.345827
52.76685190200806,275642503,698232,47,733.780151
24.024420976638794,57910729,106143,64,151.532813
47.779441833496094,228195434,644603,42,605.994512
34.48809766769409,124780094,378086,39,330.313058
17.33688473701477,18698736,67996,32,48.856217
44.801427364349365,187747199,648434,34,494.647167
66.82817459106445,751205130,969091,48,1039.894891
69.25090146064758,728264933,553041,92,1132.683361
20.840373754501343,36337541,64746,66,95.305919
182.1449637413025,375485201,898217,97,1939.172098
56.35001254081726,296246224,734628,48,788.312879
32.7580292224884,209602520,163031,89,323.074439
30.471111059188843,220691439,670317,11,169.688433
65.30200362205505,389435316,847946,54,1022.642374
44.47102499008179,166314891,838937,23,435.470622
85.59044408798218,407022593,839635,79,1477.805128
22.71942377090454,35030807,192297,21,91.295842
26.91651487350464,65082498,314573,24,170.259879
27.466797351837158,67627673,370581,21,175.936895
27.679085731506348,88108518,106530,98,232.354016
42.85059475898743,165278429,769506,25,433.531145
34.867599964141846,93361317,744796,14,238.067253
173.73922443389893,440287042,936111,82,1709.819601
39.80311131477356,183803383,234159,94,489.965466
24.821393966674805,58988296,264180,26,154.690044
11.327208280563354,822825,5797,15,1.981387
69.35233163833618,454331291,735861,73,1197.308894
192.13357019424438,402150228,869655,97,1877.503318
51.488221883773804,281957590,379510,89,752.060727
91.31502985954285,404934798,970735,70,1514.919426
24.05395483970642,104384551,91038,77,156.19332
24.255921840667725,60691080,183738,39,160.519602
31.29954242706299,90267457,364656,29,237.770149
43.4715301990509,372261138,576201,37,477.846836
37.904027223587036,93915829,928296,11,235.003283
19.586331605911255,28904992,145627,23,75.590195
45.85924577713013,227658588,339090,80,604.325021
32.401232957839966,196986005,176020,75,294.201961
48.65283012390137,224092091,754686,35,592.422261
50.47998023033142,268341933,355728,90,712.807762
42.49613285064697,174884509,433262,48,464.926425
28.96011519432068,91902824,199605,54,240.730846
38.32692050933838,315598812,873287,14,279.134726
19.969732522964478,26523396,242416,12,66.741852
40.95828866958618,176638773,391215,53,463.141563
35.60617709159851,149468549,233916,76,396.153165
47.53548574447632,202351718,980997,24,530.949404
29.95879316329956,67333852,573098,13,170.480094
27.400250673294067,173651554,514719,12,141.709118
43.36154818534851,208996007,379031,65,549.517269
52.469637870788574,292684729,462112,75,772.370461
67.1028618812561,394658823,675504,69,1039.222357
27.848984003067017,80707358,222212,43,213.829138
71.33372497558594,778287338,936562,52,1088.02589
56.297853231430054,318539957,587442,64,838.641796
36.45151233673096,276762941,332880,52,386.707762
46.593223094940186,209694950,606384,41,556.629785
38.07054901123047,158386551,315181,59,415.042844
29.08176589012146,65322825,596519,12,164.233685
19.88256859779358,20684597,144836,16,52.711926
39.18504619598389,302619049,753171,17,290.813126
56.11914777755737,274107700,792799,41,727.763676
71.13204574584961,747282092,747419,66,1100.166603
96.29025363922119,353935129,897406,80,1599.365406
91.27190589904785,352213786,866033,81,1562.624052
46.33290100097656,198675723,687220,34,524.23321
56.915828227996826,289963001,783547,44,771.352589
88.53272795677185,423588189,849361,81,1532.554437
81.90997529029846,458559239,922494,67,1378.320012
33.689037561416626,99810188,377728,31,263.028074
39.364638805389404,303573763,840004,14,268.498234
71.95669674873352,787342419,787476,66,1159.132227
15.614122152328491,6380049,30973,23,16.077873
70.31104016304016,753965046,739353,67,1104.679563
12.347132921218872,1065629,2383,42,2.240673
49.99962854385376,253075290,551248,54,664.821092
33.20568370819092,112817605,210836,63,296.322978
59.16582489013672,585375448,419060,98,913.99085
55.95599722862244,319495809,433346,88,849.130479
44.754656076431274,214960419,279817,92,573.09743
42.298452854156494,195111528,334104,69,514.001003
20.599006175994873,29566082,221304,15,75.639365
28.75942826271057,155352712,267827,32,192.434025
170.19178891181946,424294620,923924,81,1667.082064
19.894897937774658,24383259,34452,83,63.692688
102.44266271591187,714771498,803138,90,1609.323733
31.904909133911133,192003334,201038,62,278.102406
65.17716312408447,364377456,870627,49,953.544229
42.04128050804138,358108675,547499,38,466.176382
78.76538515090942,504060181,611354,98,1333.409086
21.904242038726807,24669030,140843,20,63.744801
75.74281716346741,457421703,686157,79,1207.663288
47.9195396900177,244020517,429761,67,642.107129
71.17585706710815,750160958,786208,62,1087.566835
55.308324337005615,308563769,401710,92,822.752744
22.46627688407898,94820093,170176,30,114.733334
41.12254452705383,186615500,225461,98,491.746225
19.796987056732178,24287509,32303,89,64.012483
27.460062742233276,147082911,211680,41,194.311917
45.1021203994751,177012743,671572,31,467.654166
45.93073606491089,228010358,313777,87,607.886334
39.7123441696167,112628139,751182,17,290.038712
38.12338042259216,312961343,928073,12,255.509141
51.20724272727966,240102503,884731,32,635.687452
33.85555553436279,109544250,242316,53,286.867965
80.32646560668945,501295023,938264,63,1318.706405
76.90822339057922,477988208,735256,77,1261.493411
57.613715171813965,611813528,936528,38,797.434382
25.113070487976074,60897108,145489,49,159.347786
14.954846858978271,7461077,48482,17,18.720374
41.037041664123535,190179634,297385,76,503.642614
86.06431102752686,457494869,843625,77,1447.415656
84.52721381187439,459102236,963109,63,1353.637313
26.12666368484497,61438034,206002,35,161.709421
17.663732051849365,17476079,30343,67,45.336105
175.53850746154785,892672436,884755,82,1616.024505
25.419023513793945,65740669,137904,56,172.431428
12.645671129226685,2070319,4639,50,5.183306
39.58525085449219,302331087,324872,60,435.000625
45.245808839797974,396103019,300379,92,615.208322
80.83543634414673,528512487,695673,91,1409.412508
21.40827965736389,36470524,109884,39,95.999404
55.90263247489929,320862323,576411,66,848.4537
35.88568711280823,106878184,496990,25,279.997333
72.98974299430847,464957826,647487,86,1240.042041
55.08701419830322,296381259,441463,80,786.767504
53.85642766952515,293669105,428839,82,783.274022
50.08275008201599,203825581,948637,25,534.456247
42.65937852859497,363025299,791784,22,393.448079
36.79129123687744,128498331,472947,32,339.81651
68.64892840385437,740317358,634493,79,1116.739864
42.92760229110718,197714646,260027,91,526.797075
46.2954466342926,440565795,657076,39,574.037021
53.35188364982605,289015898,541000,63,760.361047
22.88107204437256,45333273,127970,42,120.307351
47.59415078163147,166318325,954531,20,432.02003
33.910062074661255,220661889,276116,49,302.414105
46.23082494735718,154197857,975677,18,398.344561
46.49868130683899,221538403,456833,57,581.326
34.11878824234009,238328793,278353,54,335.705948
26.380722284317017,45177098,445506,11,112.781832
54.28516626358032,273909600,773505,42,727.188685
48.5437707901001,260561001,353416,88,692.511222
165.62983679771423,774714914,799459,90,1601.950344
21.78836488723755,32798647,279599,13,83.177085
82.06896829605103,458261662,917275,68,1390.834263
79.49901914596558,504758176,930929,64,1329.034576
14.880231142044067,11586915,15967,42,15.010341
18.3316011428833,23970350,64137,44,63.138479
75.07028198242188,487471960,641809,91,1300.270789
30.3270366191864,99009947,207368,56,259.289201
13.000816106796265,1922401,9707,22,4.823451
46.80965971946716,226502531,459341,58,594.69874
15.282860040664673,8718113,51955,19,22.362472
29.205024480819702,58347426,533420,12,146.861213
165.94876766204834,465736933,829671,89,1644.107607
61.75453805923462,356646842,761528,55,935.309664
89.51930332183838,418990043,711394,96,1520.071765
16.85878896713257,11754237,27510,49,30.131175
21.058077812194824,37998656,106660,42,100.271369
15.95834994316101,10126895,62929,18,25.693836
32.93988370895386,113393081,280483,48,300.973315
36.08897280693054,247868373,242945,67,362.983509
37.56080460548401,131244291,453749,34,346.13928
71.83692979812622,756070462,673541,76,1140.67902
65.9863715171814,674108698,725327,60,971.202363
27.080211877822876,71790095,180967,47,190.181766
42.32403063774109,146498085,708361,24,383.393328
47.611512184143066,195491631,910465,25,512.950691
35.43503665924072,111755285,483726,27,293.970583
29.80888080596924,97196128,130249,89,258.10839
86.58461093902588,454625290,707359,93,1464.432539
20.379849433898926,33511267,129980,30,87.633095
50.05517768859863,259640481,420960,73,684.936121
35.99649143218994,78125947,841037,10,194.272031
84.56063723564148,459054036,998455,63,1403.306237
27.719027519226074,72210764,120162,71,190.184243
28.897181510925293,183105524,366795,25,206.6507
74.24393248558044,451163558,930167,57,1183.655056
21.526283025741577,39729798,155176,30,104.617994
39.77273154258728,305718934,378629,50,423.079125
48.40839505195618,200601458,934420,25,526.441516
26.571516036987305,70250545,189750,44,186.797885
27.751059770584106,142409395,142216,66,209.331809
27.160910844802856,73806321,217964,40,195.247019
57.885687589645386,310059228,628988,58,814.329964
32.155359506607056,221387247,586207,15,200.367998
15.188701391220093,6979852,28836,28,18.162533
24.36927843093872,49574325,297833,19,128.198581
22.54921293258667,36001894,328407,12,90.414668
17.157360315322876,14830026,159219,10,36.77958
90.41238903999329,406173147,830893,80,1480.829735
14.269232034683228,3262858,26079,13,7.757812
46.382445335388184,224266721,432887,61,589.233906
195.05127000808716,713831299,955040,99,2104.171803
36.31922245025635,123280659,467246,31,325.366803
80.55921053886414,489326127,714622,82,1305.267776
61.31661915779114,353638722,507083,83,937.431551
43.08629298210144,114810507,533353,25,300.478822
